subdir,img_dir,num_pred_classes,avg_l2,std_l2,avg_l2_class_0,std_l2_class_0,avg_l2_class_1,std_l2_class_1,avg_l2_class_2,std_l2_class_2,avg_l2_class_3,std_l2_class_3,avg_l2_class_4,std_l2_class_4,avg_l2_class_5,std_l2_class_5,avg_l2_class_6,std_l2_class_6,avg_l2_class_7,std_l2_class_7,avg_l2_class_8,std_l2_class_8,avg_l2_class_9,std_l2_class_9
cifar10_stochastic_alpha_0.1_test_img_290-295_iters_500,img_294,2,0.026003587115556,0.0108319291321547,,,,,,,0.01700352629025777,0.015169838743434617,,,0.029860756040683816,0.004404337396878245,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_290-295_iters_500,img_291,1,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_290-295_iters_500,img_292,1,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,
cifar10_stochastic_alpha_0.1_test_img_245-250_iters_500,img_248,1,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_245-250_iters_500,img_245,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_245-250_iters_500,img_246,2,0.013307741796597838,0.0037676619542016524,,,0.014638519346980112,0.0031342051264357535,,,,,,,,,,,,,,,0.012790217193671398,0.0038650964449861843
cifar10_stochastic_alpha_0.1_test_img_245-250_iters_500,img_247,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_245-250_iters_500,img_249,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_130-135_iters_500,img_131,1,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_130-135_iters_500,img_133,1,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0
cifar10_stochastic_alpha_0.1_test_img_130-135_iters_500,img_130,1,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_130-135_iters_500,img_134,1,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_130-135_iters_500,img_132,2,0.025391977820545433,0.003368713335039133,,,,,,,,,,,,,,,,,0.028216124512255192,0.004044852219521999,0.025334342173775847,0.003328639089282609
cifar10_stochastic_alpha_0.1_test_img_155-160_iters_500,img_158,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_155-160_iters_500,img_157,1,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0
cifar10_stochastic_alpha_0.1_test_img_155-160_iters_500,img_159,1,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_155-160_iters_500,img_156,1,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_155-160_iters_500,img_155,1,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_175-180_iters_500,img_177,1,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,
cifar10_stochastic_alpha_0.1_test_img_175-180_iters_500,img_179,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_175-180_iters_500,img_176,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_175-180_iters_500,img_175,1,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0
cifar10_stochastic_alpha_0.1_test_img_175-180_iters_500,img_178,1,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_225-230_iters_500,img_226,3,0.0031842852709814905,0.004566462531347997,,,,,,,0.006478338450607326,0.002706952024234794,,,,,0.0015495062273527896,0.004106731511783475,,,,,0.01168265100568533,0.0018378399301465164
cifar10_stochastic_alpha_0.1_test_img_225-230_iters_500,img_228,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_225-230_iters_500,img_225,1,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0
cifar10_stochastic_alpha_0.1_test_img_225-230_iters_500,img_227,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_225-230_iters_500,img_229,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_120-125_iters_500,img_122,3,0.012889223075471818,0.003955548589539958,,,0.01631710132850068,0.0010847463422142634,0.012360201314460117,0.003557779981327661,,,,,,,0.024962139315903187,0.0016293255612254143,,,,,,
cifar10_stochastic_alpha_0.1_test_img_120-125_iters_500,img_123,4,0.042997367680072784,0.003558247143547171,,,,,0.04524247720837593,0.001800312436857825,,,,,0.04276392355752297,0.0033108938488683806,0.045538219121786266,0.002865677167098439,0.03940440838535627,0.004355813878331615,,,,
cifar10_stochastic_alpha_0.1_test_img_120-125_iters_500,img_121,2,0.004048859141767025,0.0055263045306404215,,,,,,,0.0,0.0,,,0.011246830949352847,0.001969537318799401,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_120-125_iters_500,img_120,2,0.01875699270516634,0.0022707107787233176,0.018688364424987843,0.002259086740580921,,,,,,,,,,,,,,,0.02006093002855778,0.002089694754026278,,
cifar10_stochastic_alpha_0.1_test_img_120-125_iters_500,img_124,4,0.033323558615520596,0.0037341078709515847,0.032271500676870346,0.0,0.03288573687049476,0.002815073327234923,,,,,,,,,,,,,0.0285307087469846,0.00951465045871042,0.03388277756711168,0.003242911997627212
cifar10_stochastic_alpha_0.1_test_img_140-145_iters_500,img_142,1,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,
cifar10_stochastic_alpha_0.1_test_img_140-145_iters_500,img_140,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_140-145_iters_500,img_144,1,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,
cifar10_stochastic_alpha_0.1_test_img_140-145_iters_500,img_141,1,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_140-145_iters_500,img_143,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_230-235_iters_500,img_230,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_230-235_iters_500,img_231,1,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_230-235_iters_500,img_232,3,0.015690334429964422,0.0087233446199765,,,,,,,0.015590479570057462,0.004897827465290718,,,0.010801859161195656,0.011930974171738641,,,0.031204526545479894,0.0027918243407828547,,,,
cifar10_stochastic_alpha_0.1_test_img_230-235_iters_500,img_233,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_230-235_iters_500,img_234,1,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,
cifar10_stochastic_alpha_0.1_test_img_215-220_iters_500,img_217,1,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0
cifar10_stochastic_alpha_0.1_test_img_215-220_iters_500,img_218,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_215-220_iters_500,img_215,2,0.013189408145844937,0.0027050560563033604,0.012977192209412654,0.003566941996606568,,,,,,,0.013280357832887344,0.002230023937281156,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_215-220_iters_500,img_219,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_215-220_iters_500,img_216,2,0.021230987254530192,0.016771564226327806,,,,,,,0.03502984158694744,0.0032443784344263135,,,,,,,0.0108213252142856,0.015282014433998146,,,,
cifar10_stochastic_alpha_0.1_test_img_125-130_iters_500,img_126,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_125-130_iters_500,img_129,2,0.009276840053498745,0.013473065478372015,0.029746381358967885,0.0020277625603220377,,,0.0017059138172293362,0.005903320913566329,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_125-130_iters_500,img_128,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_125-130_iters_500,img_127,2,0.00258269127458334,0.006808429448242332,,,,,,,0.0007943094472636234,0.0038664657102335863,,,0.020665218639704917,0.00213996695053261,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_125-130_iters_500,img_125,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_170-175_iters_500,img_172,2,0.0036224313639104367,0.00964318476359506,,,0.02942632557824254,0.00337999229775667,,,,,,,,,,,,,,,0.00010371851650151339,0.0009674219182336628
cifar10_stochastic_alpha_0.1_test_img_170-175_iters_500,img_173,1,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,
cifar10_stochastic_alpha_0.1_test_img_170-175_iters_500,img_174,1,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0
cifar10_stochastic_alpha_0.1_test_img_170-175_iters_500,img_171,2,0.021396322418004276,0.014926603148087364,,,,,,,,,,,,,,,0.031428266122047584,0.0033019388372650246,,,0.001028436715855743,0.005817716606422547
cifar10_stochastic_alpha_0.1_test_img_170-175_iters_500,img_170,1,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0
cifar10_stochastic_alpha_0.1_test_img_185-190_iters_500,img_185,1,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,
cifar10_stochastic_alpha_0.1_test_img_185-190_iters_500,img_187,2,0.022577859917655586,0.0031587413754609367,,,,,0.02269741849285429,0.002897665612103785,0.021202936302870512,0.005109445235364109,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_185-190_iters_500,img_188,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_185-190_iters_500,img_189,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_185-190_iters_500,img_186,2,0.025106129301711917,0.016779707083870072,,,,,0.03602459173028668,0.0054039781659053175,,,,,,,0.008728435658849776,0.014596022497895845,,,,,,
cifar10_stochastic_alpha_0.1_test_img_275-280_iters_500,img_279,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_275-280_iters_500,img_277,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_275-280_iters_500,img_276,2,0.011685947701334954,0.01856003185305431,0.0016734984517097473,0.007431322988256289,,,,,,,,,,,,,0.04172329545021057,0.003039040269946811,,,,
